-2.30000000,1.11921365
-2.10000000,1.70984654
-1.90000000,2.92709751
-1.70000000,7.69660213
-1.50000000,-14.10141995
-1.30000000,-3.60210243
-1.10000000,-1.96475966
-0.90000000,-1.26015822
-0.70000000,-0.84228838
-0.50000000,-0.54630249
-0.30000000,-0.30933625
-0.10000000,-0.10033467
0.10000000,0.10033467
0.30000000,0.30933625
0.50000000,0.54630249
0.70000000,0.84228838
0.90000000,1.26015822
1.10000000,1.96475966
1.30000000,3.60210243
1.50000000,14.10141995
1.70000000,-7.69660213
1.90000000,-2.92709751
2.10000000,-1.70984654
2.30000000,-1.11921365
2.50000000,-0.74702230
2.70000000,-0.47272763
2.90000000,-0.24640540
3.10000000,-0.04161665
3.30000000,0.15974575
3.50000000,0.37458564
3.70000000,0.62473308
3.90000000,0.94742465
4.10000000,1.42352648
4.30000000,2.28584788
4.50000000,4.63733201
4.70000000,80.71276303
4.90000000,-5.26749301
